   0.9.7 # v: lpa-ouput version
5.17E+13 # d: dislocation density [m^-2]
    real # t: A(L) transformation
    GUW1 # m: model function
      F1 # f: filter
# j Lmax[nm]    error          density[nm-2]     cut-off-radius[nm]            fluctuation                 R0[nm]
  4     13.5  4.2e-05  4.881505575959249e-05  3.385500485146815e+02  4.479629508456914e+00  1.861325169326915e+01
  4     15.0  4.2e-05  4.914469583682557e-05  3.290761224499558e+02  4.808114255186324e+00  1.762934319261854e+01
  4     16.5  9.2e-05  4.792993640715586e-05  3.641833955201923e+02  3.566105205033732e+00  2.133897415101187e+01
  4     18.0  1.4e-04  4.621066483217578e-05  4.302479736422730e+02  3.130212479497004e+00  2.799033696783268e+01
  4     19.5  1.7e-04  4.406870045513148e-05  5.457654621503746e+02  3.584363842936277e+00  3.489997596232287e+01
  4     21.0  2.1e-04  4.161806081265070e-05  7.395499646010052e+02  4.521945187029782e+00  4.047922199338961e+01
  4     22.5  2.3e-04  3.988089855457113e-05  9.365515408372166e+02  5.321670202334250e+00  4.355318887381327e+01
  4     24.0  2.5e-04  3.810965318848683e-05  1.215014901457878e+03  6.227883199648865e+00  4.626410812751756e+01
  4     25.5  2.7e-04  3.638522752232912e-05  1.599922247515525e+03  7.214842739670937e+00  4.861908128163367e+01
  4     27.0  3.3e-04  3.396681844326255e-05  2.458797819516594e+03  8.843524720910498e+00  5.155236012716392e+01
  4     28.5  4.4e-04  3.071857571539467e-05  4.852593114037230e+03  1.169770714170681e+01  5.493393760747671e+01
  4     30.0  6.1e-04  2.657814335465381e-05  1.461954553543485e+04  1.708925731598283e+01  5.854155038362720e+01
  4     31.5  8.4e-04  2.151181586353074e-05  9.999999997712631e+04  2.879738167173726e+01  6.216107766031273e+01
  4     33.0  1.3e-03  2.170381156165029e-05  9.999999999059030e+04  3.026113271232118e+01  6.124406915450538e+01
  4     34.5  2.1e-03  2.198423487257758e-05  1.000000000000000e+05  3.216899662818469e+01  6.024417908446742e+01
  4     36.0  3.2e-03  2.237118582028069e-05  1.000000000000000e+05  3.447462801431186e+01  5.925762569217467e+01
  4     37.5  4.8e-03  2.287410356497939e-05  1.000000000000000e+05  3.703796116517537e+01  5.837858022498282e+01
  4     39.0  6.9e-03  2.349470145027234e-05  1.000000000000000e+05  3.967413010654486e+01  5.766215839840516e+01
  4     40.5  9.6e-03  2.420713650213824e-05  1.000000000000000e+05  4.213336578923173e+01  5.713542638177678e+01
  5      4.5  1.2e-11  4.633999624754848e-05  3.372657467673747e+02  6.443659385289688e-01  1.372453350535804e+02
  5      6.0  4.0e-12  4.439859790720720e-05  4.398378965929396e+02  5.153087827814921e+00  2.751982483167554e+01
  5      7.5  1.9e-05  4.041582663578693e-05  8.028347107092686e+02  1.404735469343160e+01  2.393912492756019e+01
  5      9.0  4.8e-05  4.593835802379919e-05  3.678690032643607e+02  5.371253119491122e+00  2.170966049675868e+01
  5     10.5  4.9e-05  4.791177428996549e-05  2.940113053001674e+02  4.091377539901679e+00  1.801352880225269e+01
  5     12.0  4.7e-05  4.852012214671446e-05  2.769020314605040e+02  4.162913523750461e+00  1.637335915791390e+01
  5     13.5  5.0e-05  4.801838424054441e-05  2.896717907369876e+02  3.887267654335802e+00  1.768347310266690e+01
  5     15.0  9.7e-05  4.662898934096834e-05  3.296913273933534e+02  3.413914246674166e+00  2.147667727559539e+01
  5     16.5  2.0e-04  4.343807890862569e-05  4.668861340253434e+02  3.858647096986866e+00  2.928068509876289e+01
  5     18.0  2.8e-04  3.993418440104157e-05  7.348437623321292e+02  5.264876898963424e+00  3.493313652925572e+01
  5     19.5  3.4e-04  3.632128609666445e-05  1.280616704585919e+03  7.297790235961134e+00  3.900917533928396e+01
  5     21.0  4.0e-04  3.323384806436694e-05  2.253115424923352e+03  9.589720569449206e+00  4.177185665809014e+01
  5     22.5  4.5e-04  3.019767183268909e-05  4.369457524254884e+03  1.253859965649424e+01  4.411765002301325e+01
  5     24.0  6.3e-04  2.520078920974788e-05  1.822374024440872e+04  2.000916477515289e+01  4.738007087830783e+01
  5     25.5  9.8e-04  2.110959184262800e-05  9.999999941737863e+04  3.163314790321301e+01  4.934732401272164e+01
  5     27.0  1.7e-03  2.138451671349928e-05  9.999999990557157e+04  3.372979930938871e+01  4.845299839136449e+01
  5     28.5  2.9e-03  2.180432081789564e-05  1.000000000000000e+05  3.647031889692722e+01  4.752582251452616e+01
  5     30.0  4.8e-03  2.239174484512642e-05  1.000000000000000e+05  3.964677360911924e+01  4.669868617727039e+01
  5     31.5  7.6e-03  2.315447854917367e-05  1.000000000000000e+05  4.293274436448232e+01  4.605241297598857e+01
